ID,Game,Tournament,Region,WinningTeam,MVP,PrizePool(USD),PeakViewers,Duration(Days),Year,MapsPlayed,MapsWon,Kills,K/D Ratio,WinRate(%)
46,PUBG Mobile,LoL Worlds 2024,EU,Fnatic,ZywOo,26599477,1319543,3,2023,3,2,114,0.87,66.67
47,Counter-Strike 2,The International 2024,NA,Paper Rex,ZywOo,20497367,4980252,6,2024,6,5,138,1.05,83.33
48,Fortnite,Fortnite FNCS Global Championship 2025,MENA,100 Thieves,Derke,19671968,4612080,10,2025,6,5,225,1.17,83.33
49,Fortnite,Valorant Champions 2025,ASIA,T1,ShowMaker,22793932,4341528,4,2023,6,3,260,0.96,50
50,League of Legends,Valorant Champions 2024,EU,FaZe Clan,Aspas,33589367,1966938,11,2025,7,6,224,0.87,85.71
51,Valorant,LoL Worlds 2025,NA,Team Spirit,Keria,38997012,3078781,6,2025,7,1,184,1.21,14.29
52,Valorant,PUBG Mobile World Cup 2025,NA,G2 Esports,TenZ,15558304,2798968,5,2023,5,4,102,1.53,80
53,Valorant,The International 2025,OCE,Team Liquid,ZywOo,26556412,2490333,9,2024,6,3,208,1.57,50
54,Dota 2,LoL Worlds 2025,ASIA,T1,ZywOo,37349913,3542654,3,2023,4,3,188,1.34,75
55,Fortnite,BLAST Premier World Final 2024,MENA,Vitality,Sh1ro,35437106,4924090,10,2024,4,1,198,1.11,25
56,Dota 2,The International 2025,NA,Astralis,Faker,1685915,1439014,9,2024,3,2,279,1.2,66.67
57,Fortnite,LoL Worlds 2024,MENA,Team Liquid,b1t,37556826,4141202,4,2023,4,1,210,1.17,25
58,PUBG Mobile,Valorant Champions 2024,NA,Vitality,Derke,5930012,3885737,6,2025,5,5,104,1.31,100
59,Fortnite,BLAST Premier World Final 2024,OCE,Evil Geniuses,Faker,21444912,538832,9,2025,7,1,255,0.96,14.29
60,PUBG Mobile,PUBG Mobile World Cup 2025,EU,Natus Vincere,Leaf,2246289,1728921,13,2025,7,4,225,1.34,57.14
61,Valorant,Fortnite FNCS Global Championship 2024,EU,FaZe Clan,Sh1ro,5062673,2598300,8,2023,5,3,266,0.81,60
62,Counter-Strike 2,Valorant Champions 2024,MENA,Sentinels,TenZ,27544676,4925629,12,2024,5,5,231,1.06,100
63,League of Legends,PUBG Mobile World Cup 2025,OCE,Astralis,TenZ,18893309,4390965,5,2024,6,4,224,1.45,66.67
64,PUBG Mobile,BLAST Premier World Final 2024,OCE,OG,Sh1ro,1469846,3872704,5,2025,3,1,112,1.3,33.33
65,Valorant,PUBG Mobile World Cup 2024,OCE,Team Spirit,Boombl4,26422582,3490150,12,2024,4,2,104,1.48,50
66,PUBG Mobile,Valorant Champions 2024,SA,Team Liquid,ZywOo,21400506,2548610,8,2023,4,3,254,1.03,75
67,League of Legends,The International 2025,OCE,Vitality,Aspas,4157093,3810743,5,2023,6,2,236,1.47,33.33
68,League of Legends,LoL Worlds 2024,SA,OG,ShowMaker,25483638,1646386,3,2023,6,3,226,1.08,50
69,Counter-Strike 2,Valorant Champions 2025,ASIA,Natus Vincere,Sh1ro,26633426,2749560,6,2023,4,3,300,0.91,75
70,League of Legends,Fortnite FNCS Global Championship 2025,MENA,Evil Geniuses,s1mple,30570216,2758971,3,2025,5,5,229,0.82,100
71,Dota 2,LoL Worlds 2025,NA,Natus Vincere,Sh1ro,19566103,4582640,14,2024,5,4,55,0.95,80
72,Counter-Strike 2,Fortnite FNCS Global Championship 2025,MENA,T1,Keria,17433357,439546,10,2025,5,4,224,1.07,80
73,League of Legends,The International 2024,MENA,100 Thieves,Derke,10088079,2283028,6,2024,4,2,85,1.36,50
74,Dota 2,The International 2025,OCE,Team Liquid,Derke,7141944,4092539,5,2025,5,1,277,1.49,20
75,PUBG Mobile,BLAST Premier World Final 2025,MENA,OG,NiKo,2340690,3103773,6,2024,5,5,101,1.44,100
76,Dota 2,BLAST Premier World Final 2025,ASIA,Sentinels,Aspas,29390287,3047296,11,2024,3,2,183,1.43,66.67
77,League of Legends,BLAST Premier World Final 2024,ASIA,Paper Rex,NiKo,36327922,3073342,9,2025,3,3,166,1.4,100
78,Counter-Strike 2,The International 2025,NA,OG,Faker,13519313,4121211,4,2023,6,1,260,0.96,16.67
79,Fortnite,PUBG Mobile World Cup 2024,EU,Team Liquid,Boombl4,33228400,3572081,6,2023,4,1,196,0.94,25
80,League of Legends,BLAST Premier World Final 2024,EU,OG,Sh1ro,16516427,1463767,4,2024,5,3,173,1.41,60
81,Valorant,Fortnite FNCS Global Championship 2024,OCE,Natus Vincere,Ana,14024172,174738,14,2023,3,3,244,1.4,100
82,PUBG Mobile,Fortnite FNCS Global Championship 2025,OCE,FaZe Clan,Derke,27245257,4286172,6,2024,3,3,130,1.52,100
83,League of Legends,BLAST Premier World Final 2025,ASIA,G2 Esports,Boombl4,28603374,391123,10,2025,5,3,82,1.01,60
84,League of Legends,PUBG Mobile World Cup 2024,MENA,OG,Boombl4,6414496,2751902,14,2024,6,1,214,1.07,16.67
85,Valorant,LoL Worlds 2024,NA,G2 Esports,Keria,13638393,3727114,4,2023,3,3,295,0.9,100
86,PUBG Mobile,LoL Worlds 2024,MENA,Natus Vincere,Derke,24175045,51685,5,2023,3,3,228,1.07,100
87,PUBG Mobile,Valorant Champions 2024,EU,Cloud9,Boombl4,23447092,4798275,8,2025,6,3,276,1.39,50
88,PUBG Mobile,PUBG Mobile World Cup 2025,SA,Vitality,ShowMaker,4286040,1087671,11,2025,5,2,265,1.48,40
89,Counter-Strike 2,Valorant Champions 2025,SA,Fnatic,b1t,24154456,2895343,9,2025,7,2,114,1.17,28.57
90,Dota 2,BLAST Premier World Final 2025,MENA,G2 Esports,b1t,29094171,2798107,11,2023,3,2,143,0.94,66.67
91,League of Legends,LoL Worlds 2024,MENA,Evil Geniuses,b1t,22514772,1529451,14,2025,6,3,188,1.15,50
92,Valorant,Fortnite FNCS Global Championship 2024,ASIA,OG,TenZ,25640342,3404620,13,2025,4,3,50,1.02,75
93,Dota 2,BLAST Premier World Final 2024,OCE,Team Spirit,ShowMaker,7286330,2462333,6,2023,6,2,180,1.52,33.33
94,Fortnite,Fortnite FNCS Global Championship 2024,OCE,T1,b1t,36842278,4475987,13,2025,7,1,129,1.59,14.29
95,Fortnite,BLAST Premier World Final 2025,NA,FaZe Clan,Boombl4,39090363,2655309,11,2023,7,4,90,0.93,57.14
96,League of Legends,Fortnite FNCS Global Championship 2024,NA,Astralis,NiKo,2825047,1906964,3,2024,3,1,214,1.4,33.33
97,Fortnite,LoL Worlds 2025,EU,Paper Rex,TenZ,1234585,4759136,13,2024,6,5,223,1.6,83.33
98,Counter-Strike 2,PUBG Mobile World Cup 2025,MENA,FaZe Clan,NiKo,9178514,875934,13,2023,3,1,136,1.43,33.33
99,PUBG Mobile,LoL Worlds 2025,EU,Vitality,NiKo,37928858,3792414,12,2023,7,6,216,0.94,85.71
100,Valorant,Fortnite FNCS Global Championship 2025,EU,Sentinels,Aspas,13610198,313479,11,2025,3,1,219,1.06,33.33
101,Fortnite,LoL Worlds 2025,ASIA,100 Thieves,ShowMaker,16728170,3061640,8,2025,3,1,194,1.54,33.33
102,Valorant,PUBG Mobile World Cup 2024,MENA,Evil Geniuses,b1t,4984020,2544462,12,2023,7,2,201,1,28.57
103,Dota 2,The International 2025,MENA,Natus Vincere,Aspas,22330043,4672063,12,2025,7,6,296,1.06,85.71
104,Counter-Strike 2,PUBG Mobile World Cup 2024,SA,OG,Aspas,25473975,155057,11,2023,3,1,242,1.09,33.33
105,Dota 2,The International 2024,NA,Vitality,NiKo,27836209,3905519,5,2024,4,2,214,1.44,50
106,Counter-Strike 2,Valorant Champions 2024,ASIA,100 Thieves,Derke,13826079,167379,9,2025,3,3,85,0.9,100
107,Counter-Strike 2,Fortnite FNCS Global Championship 2025,EU,T1,ZywOo,15523955,1194046,3,2025,3,1,245,1.43,33.33
108,Fortnite,Fortnite FNCS Global Championship 2024,EU,Cloud9,s1mple,3491086,1166870,5,2023,4,3,87,0.98,75
109,Counter-Strike 2,PUBG Mobile World Cup 2025,OCE,Natus Vincere,s1mple,36988048,4711816,8,2023,7,4,216,1.05,57.14
110,Counter-Strike 2,BLAST Premier World Final 2025,EU,Evil Geniuses,Boombl4,5775602,361978,7,2025,4,2,77,1.05,50
111,Valorant,Valorant Champions 2025,OCE,100 Thieves,Boombl4,33828705,757489,8,2024,5,4,280,0.93,80
112,Counter-Strike 2,Fortnite FNCS Global Championship 2024,MENA,100 Thieves,Boombl4,9751921,345710,8,2024,6,2,141,1.35,33.33
113,Valorant,The International 2025,MENA,Vitality,Derke,22448276,3951556,9,2024,7,2,286,1.5,28.57
114,Dota 2,Valorant Champions 2025,OCE,Evil Geniuses,b1t,4410563,2067571,7,2025,4,1,239,1.38,25
115,Fortnite,LoL Worlds 2025,OCE,Evil Geniuses,Keria,9965747,225088,11,2024,6,2,110,1.54,33.33
116,League of Legends,BLAST Premier World Final 2024,EU,T1,Nisha,34418278,2292359,8,2024,3,2,213,1.34,66.67
117,Valorant,PUBG Mobile World Cup 2025,OCE,Astralis,Sh1ro,33935099,4551561,4,2025,7,2,269,0.85,28.57
118,PUBG Mobile,Valorant Champions 2024,ASIA,Astralis,TenZ,9506151,3642298,13,2023,7,6,239,1.13,85.71
119,Valorant,Fortnite FNCS Global Championship 2024,NA,Fnatic,Nisha,26202488,2759545,9,2025,5,5,205,0.96,100
120,Counter-Strike 2,The International 2025,MENA,OG,ShowMaker,11709650,3947860,5,2024,6,5,249,1.34,83.33
121,Fortnite,LoL Worlds 2025,MENA,Evil Geniuses,Ana,36049115,1256853,9,2024,5,4,135,1.15,80
122,Counter-Strike 2,BLAST Premier World Final 2024,OCE,Team Spirit,Derke,25486523,2648434,5,2023,4,3,222,1.11,75
123,Counter-Strike 2,PUBG Mobile World Cup 2025,OCE,T1,Leaf,26413626,1142542,11,2023,4,1,248,1.32,25
124,Fortnite,Valorant Champions 2024,NA,Fnatic,b1t,19310701,1226418,3,2024,3,1,166,1.58,33.33
125,Fortnite,BLAST Premier World Final 2024,MENA,100 Thieves,Derke,29336435,683924,11,2024,7,1,230,0.94,14.29
126,Dota 2,Valorant Champions 2024,NA,Team Spirit,ZywOo,38662229,1405586,10,2023,4,4,263,1.37,100
127,Valorant,PUBG Mobile World Cup 2025,MENA,Cloud9,Nisha,1859096,444612,8,2023,5,2,196,0.98,40
128,Valorant,The International 2025,NA,Fnatic,b1t,19674152,3731905,11,2025,7,3,131,1.43,42.86
129,Dota 2,Fortnite FNCS Global Championship 2025,ASIA,Paper Rex,Aspas,15998291,52719,12,2023,4,3,196,0.99,75
130,PUBG Mobile,LoL Worlds 2025,MENA,Evil Geniuses,Faker,8825724,2768549,3,2023,4,3,160,1.44,75
131,PUBG Mobile,LoL Worlds 2024,OCE,Fnatic,Boombl4,11380849,2392938,4,2024,6,2,147,1.19,33.33
132,Counter-Strike 2,Valorant Champions 2025,MENA,Sentinels,ShowMaker,4518584,470660,10,2024,3,1,265,1.19,33.33
133,Valorant,Valorant Champions 2025,MENA,100 Thieves,Sh1ro,9687887,206817,11,2024,3,3,275,1.46,100
134,Fortnite,PUBG Mobile World Cup 2024,EU,T1,Boombl4,9201223,1632584,10,2025,6,6,65,1.43,100
135,League of Legends,Valorant Champions 2024,EU,Astralis,b1t,13221020,1797875,6,2024,3,1,109,1.01,33.33
136,Fortnite,Fortnite FNCS Global Championship 2024,MENA,Sentinels,Faker,4659650,3138262,10,2024,5,5,64,0.91,100
137,Valorant,BLAST Premier World Final 2024,EU,Vitality,TenZ,20532956,1596426,4,2025,3,3,193,1.55,100
138,Fortnite,The International 2024,MENA,T1,ShowMaker,11998116,2824096,13,2025,4,4,57,0.86,100
139,Dota 2,Fortnite FNCS Global Championship 2025,SA,Natus Vincere,Keria,30923493,617600,5,2025,3,2,283,0.88,66.67
140,PUBG Mobile,The International 2025,NA,Sentinels,b1t,21411916,3673651,9,2023,6,1,198,1.2,16.67
141,Fortnite,PUBG Mobile World Cup 2024,OCE,OG,Leaf,24228681,3536556,4,2024,7,5,257,1.07,71.43
142,PUBG Mobile,Fortnite FNCS Global Championship 2025,SA,G2 Esports,Aspas,31772595,3275071,6,2023,3,1,108,1.37,33.33
143,PUBG Mobile,LoL Worlds 2024,NA,Cloud9,Boombl4,37030103,1045728,11,2025,7,1,180,1.6,14.29
144,League of Legends,LoL Worlds 2025,MENA,Evil Geniuses,Sh1ro,4551314,1093237,9,2025,6,1,227,1.24,16.67
145,League of Legends,Valorant Champions 2025,MENA,100 Thieves,Leaf,8849565,3095414,10,2023,7,6,273,1.31,85.71
146,Fortnite,LoL Worlds 2025,ASIA,Evil Geniuses,Nisha,16561788,1388898,14,2025,6,6,283,1.59,100
147,Fortnite,PUBG Mobile World Cup 2024,MENA,Vitality,ZywOo,23376856,3838400,7,2025,7,7,213,1.27,100
148,PUBG Mobile,PUBG Mobile World Cup 2024,MENA,Evil Geniuses,Boombl4,12824576,3632625,10,2023,7,3,283,1.43,42.86
149,Fortnite,The International 2024,ASIA,Astralis,Nisha,5428327,226146,7,2025,4,3,281,1.31,75
150,League of Legends,Valorant Champions 2025,ASIA,Cloud9,s1mple,16739562,1407353,7,2024,3,3,96,1.01,100
151,PUBG Mobile,PUBG Mobile World Cup 2024,SA,FaZe Clan,Aspas,29717639,93021,5,2023,5,3,241,1.17,60
152,Dota 2,PUBG Mobile World Cup 2025,EU,100 Thieves,Derke,10822504,3027698,12,2025,5,3,281,1.3,60
153,PUBG Mobile,BLAST Premier World Final 2025,SA,Astralis,Aspas,28319911,1843361,4,2025,4,4,71,1.58,100
154,Dota 2,LoL Worlds 2025,SA,G2 Esports,Sh1ro,7021008,2414885,14,2023,7,5,161,1.08,71.43
155,Fortnite,The International 2025,ASIA,T1,s1mple,20600038,1737831,4,2024,5,5,220,1.24,100
156,Fortnite,LoL Worlds 2024,NA,T1,ZywOo,35215132,565174,11,2025,4,4,87,0.94,100
157,Valorant,LoL Worlds 2025,MENA,OG,Derke,25259277,4782479,8,2023,4,2,152,1.54,50
158,League of Legends,The International 2025,NA,T1,b1t,16484362,4791232,13,2023,3,3,259,1.39,100
159,PUBG Mobile,Fortnite FNCS Global Championship 2024,SA,Paper Rex,Faker,35098464,3118962,6,2024,7,1,298,1.57,14.29
160,Dota 2,PUBG Mobile World Cup 2024,SA,100 Thieves,b1t,28943254,587939,5,2024,4,2,87,1.01,50
161,PUBG Mobile,Valorant Champions 2025,EU,Sentinels,Nisha,20610718,2510908,8,2025,4,3,242,1.12,75
162,League of Legends,LoL Worlds 2024,SA,100 Thieves,Derke,21602826,4867382,4,2023,6,2,273,1.58,33.33
163,League of Legends,PUBG Mobile World Cup 2024,OCE,Fnatic,b1t,30910924,3030585,9,2024,3,2,235,1.23,66.67
164,Dota 2,The International 2025,SA,Team Spirit,Ana,38314359,4883449,5,2023,5,2,170,0.87,40
165,Fortnite,PUBG Mobile World Cup 2025,SA,T1,Ana,2283903,4923292,7,2025,4,4,260,1.32,100
166,Valorant,BLAST Premier World Final 2025,SA,Team Liquid,TenZ,12528424,3018352,10,2023,7,4,291,1.14,57.14
167,Counter-Strike 2,The International 2024,OCE,G2 Esports,b1t,39314575,4244301,8,2025,6,3,117,0.92,50
168,Valorant,Valorant Champions 2025,ASIA,Fnatic,Derke,6940095,1464219,10,2023,6,2,51,1.51,33.33
169,League of Legends,Valorant Champions 2025,OCE,Astralis,Keria,14370212,2869363,5,2024,5,4,183,1.32,80
170,Counter-Strike 2,BLAST Premier World Final 2024,MENA,OG,Nisha,27350688,4569667,3,2023,6,6,206,1.32,100
171,PUBG Mobile,The International 2024,MENA,Cloud9,Faker,34891574,4071061,10,2024,6,2,181,1.2,33.33
172,PUBG Mobile,Fortnite FNCS Global Championship 2024,ASIA,G2 Esports,Derke,33389509,495596,7,2024,5,4,106,1.6,80
173,League of Legends,Valorant Champions 2025,EU,Sentinels,ShowMaker,11883226,2577716,3,2025,5,4,242,1.08,80
174,Counter-Strike 2,Fortnite FNCS Global Championship 2025,ASIA,Astralis,b1t,20960602,2848042,7,2024,6,2,118,1.38,33.33
175,PUBG Mobile,BLAST Premier World Final 2024,OCE,FaZe Clan,Nisha,2110238,3498037,3,2025,3,3,216,0.97,100
176,Valorant,Fortnite FNCS Global Championship 2025,NA,100 Thieves,ShowMaker,29349821,3513435,4,2024,4,4,181,1.16,100
177,Dota 2,BLAST Premier World Final 2024,MENA,100 Thieves,Faker,5943503,201886,3,2024,3,3,99,0.88,100
178,Dota 2,Fortnite FNCS Global Championship 2024,MENA,FaZe Clan,Boombl4,31426519,798382,9,2025,7,1,150,1.27,14.29
179,Valorant,Valorant Champions 2024,NA,Paper Rex,s1mple,7037171,4623033,6,2025,3,3,103,1.48,100
180,PUBG Mobile,PUBG Mobile World Cup 2025,SA,100 Thieves,ZywOo,4070875,929329,14,2023,3,1,286,0.84,33.33
181,Counter-Strike 2,PUBG Mobile World Cup 2025,EU,Fnatic,Nisha,19858530,3312768,6,2025,3,3,194,1.51,100
182,Valorant,LoL Worlds 2025,MENA,Natus Vincere,Leaf,7882105,2235242,7,2023,3,1,269,1.25,33.33
183,League of Legends,LoL Worlds 2025,EU,G2 Esports,Keria,13918103,4174494,3,2025,6,3,79,0.88,50
184,Dota 2,PUBG Mobile World Cup 2024,OCE,Fnatic,s1mple,17157608,1926439,6,2025,6,1,266,1.51,16.67
185,Dota 2,Valorant Champions 2025,MENA,Astralis,TenZ,11555854,3382535,7,2024,4,4,53,1.51,100
186,PUBG Mobile,Fortnite FNCS Global Championship 2025,SA,Natus Vincere,TenZ,34609856,1637556,13,2025,3,3,271,1.21,100
187,Fortnite,The International 2024,OCE,Astralis,TenZ,2173935,4592078,8,2023,5,3,281,0.95,60
188,League of Legends,PUBG Mobile World Cup 2024,ASIA,Team Liquid,ShowMaker,32356379,4934254,3,2025,7,7,192,0.82,100
189,Counter-Strike 2,BLAST Premier World Final 2025,EU,Paper Rex,Aspas,24121323,4197649,11,2023,5,5,247,0.85,100
190,Counter-Strike 2,Fortnite FNCS Global Championship 2024,MENA,G2 Esports,ZywOo,23624625,4397213,11,2025,4,4,138,1.32,100
191,PUBG Mobile,Valorant Champions 2025,SA,Team Liquid,ShowMaker,28553757,1018674,10,2024,3,2,297,1.13,66.67
192,Fortnite,Fortnite FNCS Global Championship 2025,MENA,100 Thieves,Faker,32635876,3730030,4,2024,4,3,193,0.89,75
193,League of Legends,PUBG Mobile World Cup 2025,NA,Vitality,b1t,18517077,926638,8,2024,5,5,228,0.9,100
194,Valorant,PUBG Mobile World Cup 2024,ASIA,Paper Rex,Derke,19404479,4286688,11,2025,5,3,173,1.35,60
195,League of Legends,Fortnite FNCS Global Championship 2025,MENA,Team Spirit,Keria,2228215,2127412,5,2023,4,1,144,0.97,25
196,League of Legends,Valorant Champions 2025,SA,100 Thieves,Boombl4,28141389,730693,7,2023,4,4,155,1.53,100
197,PUBG Mobile,Fortnite FNCS Global Championship 2024,MENA,OG,Nisha,15032426,982635,3,2023,7,3,262,1.49,42.86
198,League of Legends,Valorant Champions 2024,MENA,Sentinels,ShowMaker,16244064,1711887,11,2025,3,3,225,1.01,100
199,Fortnite,The International 2025,ASIA,OG,Faker,37199484,4391821,4,2023,6,5,67,1.45,83.33
200,Dota 2,The International 2025,NA,Team Liquid,NiKo,22199213,1066477,7,2025,4,4,211,1.42,100
201,Fortnite,Valorant Champions 2024,NA,Paper Rex,Ana,24933844,1549770,9,2023,7,6,249,1.16,85.71
202,League of Legends,BLAST Premier World Final 2025,SA,Fnatic,Sh1ro,6462152,1416521,8,2024,6,1,129,1.44,16.67
203,Dota 2,BLAST Premier World Final 2025,EU,Team Liquid,s1mple,35890630,607221,7,2025,6,4,102,1.57,66.67
204,Counter-Strike 2,PUBG Mobile World Cup 2025,NA,Team Spirit,Nisha,5957554,3100443,5,2023,4,3,173,1.33,75
205,Dota 2,LoL Worlds 2024,OCE,OG,Sh1ro,27752671,2329178,11,2024,4,3,215,1.45,75
206,Dota 2,PUBG Mobile World Cup 2024,NA,Team Liquid,Faker,21442691,371863,10,2023,7,3,299,1.12,42.86
207,Counter-Strike 2,LoL Worlds 2025,OCE,Cloud9,ShowMaker,25224764,1822425,5,2023,6,1,278,1.58,16.67
208,Counter-Strike 2,LoL Worlds 2024,MENA,FaZe Clan,NiKo,11206531,1324177,9,2023,7,6,210,0.9,85.71
209,League of Legends,LoL Worlds 2025,NA,100 Thieves,ZywOo,3036911,1509105,3,2024,6,5,135,1.08,83.33
210,Dota 2,The International 2024,MENA,Fnatic,b1t,17355093,3860613,13,2023,7,2,237,1.22,28.57
211,Valorant,PUBG Mobile World Cup 2025,SA,FaZe Clan,b1t,36866425,4217930,7,2023,5,3,111,1.17,60
212,League of Legends,Fortnite FNCS Global Championship 2025,SA,Natus Vincere,Boombl4,12981032,2851194,4,2025,4,2,136,1.24,50
213,Valorant,BLAST Premier World Final 2024,SA,Team Liquid,TenZ,8032870,1197650,13,2025,6,2,79,1.32,33.33
214,Counter-Strike 2,PUBG Mobile World Cup 2025,OCE,OG,s1mple,6541161,1396950,5,2023,7,4,283,1.45,57.14
215,League of Legends,Valorant Champions 2024,OCE,Sentinels,Boombl4,32605553,1760161,5,2023,3,2,98,1.38,66.67
216,PUBG Mobile,BLAST Premier World Final 2024,MENA,FaZe Clan,ShowMaker,30020913,2562006,5,2025,4,1,264,0.95,25
217,PUBG Mobile,BLAST Premier World Final 2025,MENA,OG,Keria,13049961,517953,5,2024,5,2,187,1.16,40
218,PUBG Mobile,PUBG Mobile World Cup 2025,SA,Fnatic,Leaf,29232191,928425,14,2024,6,1,156,0.91,16.67
219,Fortnite,Fortnite FNCS Global Championship 2025,NA,OG,Aspas,8020637,3325300,14,2024,6,1,275,1.3,16.67
220,Dota 2,The International 2025,ASIA,Evil Geniuses,Nisha,37908788,910459,4,2023,7,6,273,1,85.71
221,League of Legends,PUBG Mobile World Cup 2024,ASIA,G2 Esports,Derke,10427640,1428793,9,2023,3,1,247,1.16,33.33
